"","COMMON_NAME","SCIENTIFIC_NAME","ID_RANK","WORMS"
"38","snail egg","Gastropoda egg","class",NA
"39","empty gastropod shells",NA,NA,NA
"40","northern rock sole","Lepidopsetta polyxystra","species",281307
"41","Pacific halibut","Hippoglossus stenolepis","species",274290
"42","Alaskan hermit","Pagurus ochotensis","species",366742
"43","sturgeon poacher","Podothecus accipenserinus","species",254501
"44","basketstar","Gorgonocephalus eucnemis","species",124969
"45","flathead sole","Hippoglossoides elassodon","species",274289
"46","Pacific herring","Clupea pallasii","species",151159
"47","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"48","empty bivalve shells",NA,NA,NA
"49","snail egg","Gastropoda egg","class",NA
"50","Pacific cod","Gadus macrocephalus","species",254538
"51","yellowfin sole","Limanda aspera","species",254562
"52","longhead dab","Myzopsetta proboscidea","species",319505
"53","Alaska skate","Arctoraja parmifera","species",1577324
"54",NA,"Chrysaora melanaster","species",287209
"55","sturgeon poacher","Podothecus accipenserinus","species",254501
"56","hairy hermit crab","Pagurus capillatus","species",254489
"57","Oregon triton","Fusitriton oregonensis","species",476496
"58","Kamchatka flounder","Atheresthes evermanni","species",279791
"59","sand dollar unid.",NA,NA,NA
"60","Aleutian alligatorfish","Aspidophoroides monopterygius","species",159459
"61","purple-orange sea star","Asterias amurensis","species",254497
"62","walleye pollock","Gadus chalcogrammus","species",300735
"63","Pacific halibut","Hippoglossus stenolepis","species",274290
"64","Pribilof whelk","Neptunea pribiloffensis","species",491185
"65","flathead sole","Hippoglossoides elassodon","species",274289
"66",NA,"Henricia sp.","genus",123276
"67","arrowtooth flounder","Atheresthes stomias","species",279792
"68",NA,"Argis sp.","genus",107006
"69","Aleutian skate","Bathyraja aleutica","species",271506
"70","Pribilof whelk","Neptunea pribiloffensis","species",491185
"71","Alaska skate","Arctoraja parmifera","species",1577324
"72","northern rock sole","Lepidopsetta polyxystra","species",281307
"73","blackspined sea star","Lethasterias nanimensis","species",254499
"74","giant scale worm","Eunoe nodosa","species",130745
"75","red trumpet calcareous tubeworm","Serpula columbiana","species",338088
"76",NA,"Henricia sp.","genus",123276
"77","empty bivalve shells",NA,NA,NA
"78","Pribilof whelk","Neptunea pribiloffensis","species",491185
"79","Pacific cod","Gadus macrocephalus","species",254538
"80","Alaska skate","Arctoraja parmifera","species",1577324
"81","Aleutian hermit","Pagurus aleuticus","species",366647
"82","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"83","Pacific cod","Gadus macrocephalus","species",254538
"84","yellowfin sole","Limanda aspera","species",254562
"85","spatulate sculpin","Icelus spatula","species",127200
"86","snail egg","Gastropoda egg","class",NA
"87","Pacific cod","Gadus macrocephalus","species",254538
"88","red king crab","Paralithodes camtschaticus","species",233889
"89","Aleutian hermit","Pagurus aleuticus","species",366647
"90","wattled eelpout","Lycodes palearis","species",254585
"91","Alaska skate","Arctoraja parmifera","species",1577324
"92","northern rockfish","Sebastes polyspinis","species",274837
"93","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"94","swollen whelk","Buccinum oedematum","species",490835
"95","Pacific herring","Clupea pallasii","species",151159
"96","compound ascidian unid.",NA,NA,NA
"97",NA,"Neptunea heros","species",254479
"98","flathead sole","Hippoglossoides elassodon","species",274289
"99","giant sea star","Evasterias echinosoma","species",254498
"100",NA,"Pseudarchaster sp.","genus",123304
"101",NA,"Argis sp.","genus",107006
"102","bigmouth sculpin","Hemitripterus bolini","species",254541
"103","Aleutian moonsnail","Cryptonatica aleutica","species",576533
"104",NA,"Neptunea heros","species",254479
"105","empty gastropod shells",NA,NA,NA
"106","Aleutian hermit","Pagurus aleuticus","species",366647
"107","longfinger hermit","Pagurus rathbuni","species",254491
"108","depressed scale worm","Eunoe depressa","species",254455
"109","sinuous whelk","Buccinum plectrum","species",160127
"110",NA,"Leptasterias polaris","species",125154
"111","empty gastropod shells",NA,NA,NA
"112","Kamchatka flounder","Atheresthes evermanni","species",279791
"113","blackspined sea star","Lethasterias nanimensis","species",254499
"114",NA,"Leptasterias arctica","species",369158
"115",NA,"Aplidium sp.","genus",103471
"116",NA,"Leptasterias polaris","species",125154
"117","fat whelk","Neptunea ventricosa","species",156264
"118","Pacific halibut","Hippoglossus stenolepis","species",274290
"119","Pribilof whelk","Neptunea pribiloffensis","species",491185
"120","sinuous whelk","Buccinum plectrum","species",160127
"121","shorthorn (=warty) sculpin","Myoxocephalus scorpius","species",127203
"122","giant scale worm","Eunoe nodosa","species",130745
"123","angular whelk","Buccinum angulosum","species",138858
"124","snow crab","Chionoecetes opilio","species",107315
"125","peachskin snailfish","Careproctus scottae","species",274470
"126",NA,"Neptunea borealis","species",254478
"127","peachskin snailfish","Careproctus scottae","species",274470
"128",NA,"Crangon sp.","genus",107007
"129",NA,"Crangon sp.","genus",107007
"130","empty bivalve shells",NA,NA,NA
"131","Pacific halibut","Hippoglossus stenolepis","species",274290
"132",NA,"Neptunea heros","species",254479
"133","Pacific cod","Gadus macrocephalus","species",254538
"134","northern rock sole","Lepidopsetta polyxystra","species",281307
"135",NA,"Aplidium sp.","genus",103471
"136","Alaska skate","Arctoraja parmifera","species",1577324
"137","flathead sole","Hippoglossoides elassodon","species",274289
"138","walleye pollock","Gadus chalcogrammus","species",300735
"139","Kamchatka flounder","Atheresthes evermanni","species",279791
"140","sturgeon poacher","Podothecus accipenserinus","species",254501
"141",NA,"Metridium sp.","genus",100770
"142","starry flounder","Platichthys stellatus","species",154781
"143","northern rock sole","Lepidopsetta polyxystra","species",281307
"144","red king crab","Paralithodes camtschaticus","species",233889
"145","bryozoan unid.","Bryozoa","phylum",146142
"146","starry flounder","Platichthys stellatus","species",154781
"147","Pacific sandfish","Trichodon trichodon","species",283043
"148","northern rock sole","Lepidopsetta polyxystra","species",281307
"149","purple-orange sea star","Asterias amurensis","species",254497
"150","Pacific cod","Gadus macrocephalus","species",254538
"151",NA,"Chrysaora melanaster","species",287209
"152","Aleutian hermit","Pagurus aleuticus","species",366647
"153","fat whelk","Neptunea ventricosa","species",156264
"154","longhead dab","Myzopsetta proboscidea","species",319505
"155","Pacific herring","Clupea pallasii","species",151159
"156","notched brittlestar","Ophiura sarsii","species",124934
"157","Oregon triton","Fusitriton oregonensis","species",476496
"158","sea raspberry","Gersemia sp.","genus",146953
"159","northern rock sole","Lepidopsetta polyxystra","species",281307
"160","Aleutian hermit","Pagurus aleuticus","species",366647
"161","Alaskan hermit","Pagurus ochotensis","species",366742
"162","sturgeon poacher","Podothecus accipenserinus","species",254501
"163",NA,"Pyrulofusus melonis","species",491325
"164","tentacle-shedding anemone","Liponema brevicorne","species",593074
"165","flathead sole","Hippoglossoides elassodon","species",274289
"166","Aleutian hermit","Pagurus aleuticus","species",366647
"167","Kamchatka flounder","Atheresthes evermanni","species",279791
"168","empty bivalve shells",NA,NA,NA
"169","sawback poacher","Sarritor frenatus","species",254374
"170","Pacific cod","Gadus macrocephalus","species",254538
"171","empty bivalve shells",NA,NA,NA
"172","sturgeon poacher","Podothecus accipenserinus","species",254501
"173","Pacific cod","Gadus macrocephalus","species",254538
"174","Pacific cod","Gadus macrocephalus","species",254538
"175","northern rock sole","Lepidopsetta polyxystra","species",281307
"176","basketstar","Gorgonocephalus eucnemis","species",124969
"177","Alaska skate egg case","Arctoraja parmifera egg case","species",NA
"178","Pacific cod","Gadus macrocephalus","species",254538
"179","northern rock sole","Lepidopsetta polyxystra","species",281307
"180","sea raspberry","Gersemia sp.","genus",146953
"181","Alaska skate","Arctoraja parmifera","species",1577324
"182","yellowfin sole","Limanda aspera","species",254562
"183","purple-orange sea star","Asterias amurensis","species",254497
"184","yellowfin sole","Limanda aspera","species",254562
"185","sturgeon poacher","Podothecus accipenserinus","species",254501
"186","sawback poacher","Sarritor frenatus","species",254374
"187","Pacific cod","Gadus macrocephalus","species",254538
"188","Tanner crab","Chionoecetes bairdi","species",368558
"189","blackspined sea star","Lethasterias nanimensis","species",254499
"190","northern rock sole","Lepidopsetta polyxystra","species",281307
"191",NA,"Neptunea heros","species",254479
"192","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"193","nudibranch unid.","Nudibranchia","order",1762
"194","giant scale worm","Eunoe nodosa","species",130745
"195","Pacific cod","Gadus macrocephalus","species",254538
"196","knobbyhand hermit","Pagurus confragosus","species",366670
"197","Alaska skate","Arctoraja parmifera","species",1577324
"198","Bering skate","Bathyraja interrupta","species",271515
"199","blackspined sea star","Lethasterias nanimensis","species",254499
"200","Tanner crab","Chionoecetes bairdi","species",368558
"201",NA,"Urticina sp.","genus",100706
"202","longfinger hermit","Pagurus rathbuni","species",254491
"203","Tanner crab","Chionoecetes bairdi","species",368558
"204","Bering skate","Bathyraja interrupta","species",271515
"205","northern rock sole","Lepidopsetta polyxystra","species",281307
"206","thorny sculpin","Icelus spiniger","species",254525
"207","hairy hermit crab","Pagurus capillatus","species",254489
"208","sponge unid.","Porifera","phylum",558
"209","empty barnacle shells",NA,NA,NA
"210","lyre whelk","Neptunea lyrata","species",254477
"211","shortfin eelpout","Lycodes brevipes","species",254595
"212","obscure sea star","Pteraster obscurus","species",124149
"213",NA,"Chrysaora melanaster","species",287209
"214","empty bivalve shells",NA,NA,NA
"215","splendid hermit","Labidochirus splendescens","species",248348
"216","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"217",NA,"Urticina sp.","genus",100706
"218","polar whelk","Buccinum polare","species",138873
"219","walleye pollock","Gadus chalcogrammus","species",300735
"220","empty gastropod shells",NA,NA,NA
"221","common mud star","Ctenodiscus crispatus","species",123915
"222","Pacific cod","Gadus macrocephalus","species",254538
"223","helmet whelk","Clinopegma magnum","species",490909
"224","angular whelk","Buccinum angulosum","species",138858
"225","yellowfin sole","Limanda aspera","species",254562
"226","walleye pollock","Gadus chalcogrammus","species",300735
"227",NA,"Metridium sp.","genus",100770
"228","giant sea star","Evasterias echinosoma","species",254498
"229","gigantic anemone","Metridium farcimen","species",283704
"230","Pacific halibut","Hippoglossus stenolepis","species",274290
"231","red king crab","Paralithodes camtschaticus","species",233889
"232","yellowfin sole","Limanda aspera","species",254562
"233","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"234","walleye pollock","Gadus chalcogrammus","species",300735
"235","sablefish","Anoplopoma fimbria","species",159463
"236","sturgeon poacher","Podothecus accipenserinus","species",254501
"237","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"238","arrowtooth flounder","Atheresthes stomias","species",279792
"239","Alaskan hermit","Pagurus ochotensis","species",366742
"240","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"241","fragile whelk","Volutopsius fragilis","species",491385
"242","Pacific cod","Gadus macrocephalus","species",254538
"243","lyre whelk","Neptunea lyrata","species",254477
"244","Aleutian alligatorfish","Aspidophoroides monopterygius","species",159459
"245","southern rock sole","Lepidopsetta bilineata","species",281305
"246","notched brittlestar","Ophiura sarsii","species",124934
"247","Tanner crab","Chionoecetes bairdi","species",368558
"248","Tanner crab","Chionoecetes bairdi","species",368558
"249","Bering beringius","Beringius behringii","species",160112
"250","hairy hermit crab","Pagurus capillatus","species",254489
"251","yellowfin sole","Limanda aspera","species",254562
"252","lyre whelk","Neptunea lyrata","species",254477
"253","Pacific herring","Clupea pallasii","species",151159
"254",NA,"Chrysaora melanaster","species",287209
"255","yellowfin sole","Limanda aspera","species",254562
"256","Kamchatka flounder","Atheresthes evermanni","species",279791
"257","Oregon triton","Fusitriton oregonensis","species",476496
"258","northern rock sole","Lepidopsetta polyxystra","species",281307
"259","lyre whelk","Neptunea lyrata","species",254477
"260","stinky sponge","Suberites montalbidus","species",134297
"261","basketstar","Gorgonocephalus eucnemis","species",124969
"262",NA,"Pyrulofusus melonis","species",491325
"263","hydroid unid.","Hydroidolina","subclass",19494
"264","graceful decorator crab","Oregonia gracilis","species",442171
"265","helmet whelk","Clinopegma magnum","species",490909
"266","Kamchatka flounder","Atheresthes evermanni","species",279791
"267","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"268","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"269","unsorted shab",NA,NA,NA
"270","basketstar","Gorgonocephalus eucnemis","species",124969
"271",NA,"Pyrulofusus melonis","species",491325
"272","circumboreal toad crab","Hyas coarctatus","species",107323
"273","yellowfin sole","Limanda aspera","species",254562
"274","empty gastropod shells",NA,NA,NA
"275","Tanner crab","Chionoecetes bairdi","species",368558
"276","empty bivalve shells",NA,NA,NA
"277",NA,"Crangon sp.","genus",107007
"278","Aleutian skate","Bathyraja aleutica","species",271506
"279","circumboreal toad crab","Hyas coarctatus","species",107323
"280","Alaskan hermit","Pagurus ochotensis","species",366742
"281","purple-orange sea star","Asterias amurensis","species",254497
"282","walleye pollock","Gadus chalcogrammus","species",300735
"283","basketstar","Gorgonocephalus eucnemis","species",124969
"284","splendid hermit","Labidochirus splendescens","species",248348
"285","empty bivalve shells",NA,NA,NA
"286","bigmouth sculpin","Hemitripterus bolini","species",254541
"287","sea peach unid.","Halocynthia sp.","genus",103519
"288","walleye pollock","Gadus chalcogrammus","species",300735
"289","Arctic Hiatella","Hiatella arctica","species",140103
"290","Alaskan pink shrimp","Pandalus eous","species",515463
"291","empty bivalve shells",NA,NA,NA
"292","rex sole","Glyptocephalus zachirus","species",274287
"293","sturgeon poacher","Podothecus accipenserinus","species",254501
"294",NA,"Chrysaora melanaster","species",287209
"295","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"296","striped sea leech","Notostomum cyclostomum","species",370644
"297","Alaskan hermit","Pagurus ochotensis","species",366742
"298",NA,"Ctenodiscus sp.","genus",123258
"299","Kamchatka flounder","Atheresthes evermanni","species",279791
"300","empty bivalve shells",NA,NA,NA
"301","northern rock sole","Lepidopsetta polyxystra","species",281307
"302","wattled eelpout","Lycodes palearis","species",254585
"303","rex sole","Glyptocephalus zachirus","species",274287
"304",NA,"Balticina willemoesi","species",1393616
"305","lyre whelk","Neptunea lyrata","species",254477
"306","compound ascidian unid.",NA,NA,NA
"307","spatulate sculpin","Icelus spatula","species",127200
"308","basketstar","Gorgonocephalus eucnemis","species",124969
"309","invertebrate unid.",NA,NA,NA
"310","hydroid unid.","Hydroidolina","subclass",19494
"311","Pacific cod","Gadus macrocephalus","species",254538
"312","snail egg","Gastropoda egg","class",NA
"313","sea potato","Styela rustica","species",103937
"314","Kamchatka flounder","Atheresthes evermanni","species",279791
"315","obscure sea star","Pteraster obscurus","species",124149
"316","Kamchatka flounder","Atheresthes evermanni","species",279791
"317",NA,"Leptasterias arctica","species",369158
"318",NA,"Chrysaora melanaster","species",287209
"319","shortfin eelpout","Lycodes brevipes","species",254595
"320",NA,"Latisipho hypolispus","species",491062
"321","Bering flounder","Hippoglossoides robustus","species",254561
"322","blue king crab","Paralithodes platypus","species",254493
"323","longfinger hermit","Pagurus rathbuni","species",254491
"324","walleye pollock","Gadus chalcogrammus","species",300735
"325","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"326","basketstar","Gorgonocephalus eucnemis","species",124969
"327","Tanner crab","Chionoecetes bairdi","species",368558
"328","spectacled sculpin","Triglops scepticus","species",254531
"329","blue king crab","Paralithodes platypus","species",254493
"330","Alaskan pink shrimp","Pandalus eous","species",515463
"331",NA,"Argis sp.","genus",107006
"332","giant scale worm","Eunoe nodosa","species",130745
"333","polar whelk","Buccinum polare","species",138873
"334","thorny sculpin","Icelus spiniger","species",254525
"335","Greenland turbot","Reinhardtius hippoglossoides","species",127144
"336","basketstar","Gorgonocephalus eucnemis","species",124969
"337","Sakhalin sole","Limanda sakhalinensis","species",274292
"338","wattled eelpout","Lycodes palearis","species",254585
"339","snow crab","Chionoecetes opilio","species",107315
"340",NA,"Neptunea heros","species",254479
"341","Alaskan hermit","Pagurus ochotensis","species",366742
"342","walleye pollock","Gadus chalcogrammus","species",300735
"343","mottled anemone","Urticina crassicornis","species",100832
"344","flathead sole","Hippoglossoides elassodon","species",274289
"345","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"346","arrowtooth flounder","Atheresthes stomias","species",279792
"347","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"348","walleye pollock","Gadus chalcogrammus","species",300735
"349","yellowfin sole","Limanda aspera","species",254562
"350","Alaskan hermit","Pagurus ochotensis","species",366742
"351","plain sculpin","Myoxocephalus jaok","species",254527
"352","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"353","Arctic surfclam","Mactromeris polynyma","species",156863
"354","flathead sole","Hippoglossoides elassodon","species",274289
"355","empty gastropod shells",NA,NA,NA
"356","Alaskan pink shrimp","Pandalus eous","species",515463
"357","snail egg","Gastropoda egg","class",NA
"358","walleye pollock","Gadus chalcogrammus","species",300735
"359","depressed scale worm","Eunoe depressa","species",254455
"360","giant scale worm","Eunoe nodosa","species",130745
"361","giant scale worm","Eunoe nodosa","species",130745
"362","splendid hermit","Labidochirus splendescens","species",248348
"363","walleye pollock","Gadus chalcogrammus","species",300735
"364","rex sole","Glyptocephalus zachirus","species",274287
"365","Alaska skate","Arctoraja parmifera","species",1577324
"366","flathead sole","Hippoglossoides elassodon","species",274289
"367","flathead sole","Hippoglossoides elassodon","species",274289
"368","Tanner crab","Chionoecetes bairdi","species",368558
"369","Pacific cod","Gadus macrocephalus","species",254538
"370","longfinger hermit","Pagurus rathbuni","species",254491
"371","empty gastropod shells",NA,NA,NA
"372","flathead sole","Hippoglossoides elassodon","species",274289
"373","flathead sole","Hippoglossoides elassodon","species",274289
"374","yellowfin sole","Limanda aspera","species",254562
"375","humpy shrimp","Pandalus goniurus","species",254483
"376","giant scale worm","Eunoe nodosa","species",130745
"377","flathead sole","Hippoglossoides elassodon","species",274289
"378","ribbed bryozoan","Rhamphostomella costata","species",111140
"379",NA,"Chrysaora melanaster","species",287209
"380","Pacific cod","Gadus macrocephalus","species",254538
"381",NA,"Crangon sp.","genus",107007
"382","empty gastropod shells",NA,NA,NA
"383","Alaska skate","Arctoraja parmifera","species",1577324
"384","basketstar","Gorgonocephalus eucnemis","species",124969
"385","walleye pollock","Gadus chalcogrammus","species",300735
"386","longhead dab","Myzopsetta proboscidea","species",319505
"387","empty bivalve shells",NA,NA,NA
"388","oblique smoothcockle","Serripes notabilis","species",582751
"389","northern rock sole","Lepidopsetta polyxystra","species",281307
"390","yellow Irish lord","Hemilepidotus jordani","species",254522
"391","walleye pollock","Gadus chalcogrammus","species",300735
"392","Alaska skate","Arctoraja parmifera","species",1577324
"393","spinyhead sculpin","Dasycottus setiger","species",280488
"394","purple hermit","Elassochirus cavimanus","species",366320
"395","ladder whelk","Buccinum scalariforme","species",138875
"396","warped whelk","Pyrulofusus deformis","species",254378
"397","purple-orange sea star","Asterias amurensis","species",254497
"398","yellowfin sole","Limanda aspera","species",254562
"399","flathead sole","Hippoglossoides elassodon","species",274289
"400","basketstar","Gorgonocephalus eucnemis","species",124969
"401","snow crab","Chionoecetes opilio","species",107315
"402","Pacific halibut","Hippoglossus stenolepis","species",274290
"403","Aleutian hermit","Pagurus aleuticus","species",366647
"404","Alaskan pink shrimp","Pandalus eous","species",515463
"405","Alaska skate","Arctoraja parmifera","species",1577324
"406","sponge unid.","Porifera","phylum",558
"407",NA,"Neptunea heros","species",254479
"408","common mud star","Ctenodiscus crispatus","species",123915
"409","snow crab","Chionoecetes opilio","species",107315
"410","Pacific cod","Gadus macrocephalus","species",254538
"411","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"412","empty bivalve shells",NA,NA,NA
"413","notched brittlestar","Ophiura sarsii","species",124934
"414","Aleutian hermit","Pagurus aleuticus","species",366647
"415","shortfin eelpout","Lycodes brevipes","species",254595
"416","empty gastropod shells",NA,NA,NA
"417","thorny sculpin","Icelus spiniger","species",254525
"418","monster snailfish","Careproctus phasma","species",274460
"419","giant octopus","Enteroctopus dofleini","species",342305
"420","Oregon triton","Fusitriton oregonensis","species",476496
"421","Pacific herring","Clupea pallasii","species",151159
"422","sea mouse unid.","Aphroditidae","family",938
"423","northern rock sole","Lepidopsetta polyxystra","species",281307
"424","thorny sculpin","Icelus spiniger","species",254525
"425","walleye pollock","Gadus chalcogrammus","species",300735
"426","Alaska skate","Arctoraja parmifera","species",1577324
"427","bigmouth sculpin","Hemitripterus bolini","species",254541
"428","northern rock sole","Lepidopsetta polyxystra","species",281307
"429","lyre whelk","Neptunea lyrata","species",254477
"430","flathead sole","Hippoglossoides elassodon","species",274289
"431","variegated snailfish","Liparis gibbus","species",159526
"432","sea raspberry","Gersemia sp.","genus",146953
"433","snail egg","Gastropoda egg","class",NA
"434","sinuous whelk","Buccinum plectrum","species",160127
"435",NA,"Chrysaora melanaster","species",287209
"436","walleye pollock","Gadus chalcogrammus","species",300735
"437","polychaete worm unid.","Polychaeta","class",883
"438","Pacific lyre crab","Hyas lyratus","species",442167
"439","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"440",NA,"Strongylocentrotus sp.","genus",123390
"441","splendid hermit","Labidochirus splendescens","species",248348
"442","red king crab","Paralithodes camtschaticus","species",233889
"443",NA,"Chrysaora melanaster","species",287209
"444","Pacific cod","Gadus macrocephalus","species",254538
"445","Alaskan hermit","Pagurus ochotensis","species",366742
"446","horsehair crab","Erimacrus isenbeckii","species",440405
"447","Alaska great-tellin","Megangulus luteus","species",423511
"448","arrowtooth flounder","Atheresthes stomias","species",279792
"449","sand lance unid.","Ammodytes sp.","genus",125909
"450","Tanner crab","Chionoecetes bairdi","species",368558
"451","Alaskan hermit","Pagurus ochotensis","species",366742
"452","fat whelk","Neptunea ventricosa","species",156264
"453","flathead sole","Hippoglossoides elassodon","species",274289
"454","yellowfin sole","Limanda aspera","species",254562
"455","Alaskan hermit","Pagurus ochotensis","species",366742
"456","Pacific cod","Gadus macrocephalus","species",254538
"457","Pacific halibut","Hippoglossus stenolepis","species",274290
"458","sea onion","Boltenia ovifera","species",103815
"459","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"460","northern rock sole","Lepidopsetta polyxystra","species",281307
"461","hairy hermit crab","Pagurus capillatus","species",254489
"462","Dover sole","Microstomus pacificus","species",274294
"463","mottled anemone","Urticina crassicornis","species",100832
"464","oblique smoothcockle","Serripes notabilis","species",582751
"465","sturgeon poacher","Podothecus accipenserinus","species",254501
"466","Aleutian hermit","Pagurus aleuticus","species",366647
"467","arrowtooth flounder","Atheresthes stomias","species",279792
"468","empty bivalve shells",NA,NA,NA
"469","flathead sole","Hippoglossoides elassodon","species",274289
"470","Alaskan hermit","Pagurus ochotensis","species",366742
"471","Tanner crab","Chionoecetes bairdi","species",368558
"472","bryozoan unid.","Bryozoa","phylum",146142
"473","snail egg","Gastropoda egg","class",NA
"474","Aleutian hermit","Pagurus aleuticus","species",366647
"475","Pacific halibut","Hippoglossus stenolepis","species",274290
"476","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"477","mussel unid.","Mytilidae","family",211
"478","mussel unid.","Mytilidae","family",211
"479","sawback poacher","Sarritor frenatus","species",254374
"480",NA,"Leptasterias arctica","species",369158
"481","sea peach","Halocynthia aurantium","species",250674
"482","yellowfin sole","Limanda aspera","species",254562
"483","northern rock sole","Lepidopsetta polyxystra","species",281307
"484","yellow Irish lord","Hemilepidotus jordani","species",254522
"485","sea onion","Boltenia ovifera","species",103815
"486",NA,"Urticina sp.","genus",100706
"487","Tanner crab","Chionoecetes bairdi","species",368558
"488","unsorted catch and debris",NA,NA,NA
"489",NA,"Metridium sp.","genus",100770
"490","empty gastropod shells",NA,NA,NA
"491","Bering skate","Bathyraja interrupta","species",271515
"492","wattled eelpout","Lycodes palearis","species",254585
"493","arrowtooth flounder","Atheresthes stomias","species",279792
"494",NA,"Leptasterias polaris","species",125154
"495",NA,"Chrysaora melanaster","species",287209
"496","empty bivalve shells",NA,NA,NA
"497",NA,"Bathypolypus sp.","genus",138265
"498","empty gastropod shells",NA,NA,NA
"499","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"500","keeled Aforia","Aforia circinata","species",432904
"501","Alaskan hermit","Pagurus ochotensis","species",366742
"502","blackspined sea star","Lethasterias nanimensis","species",254499
"503","ribbed sculpin","Triglops pingelii","species",127207
"504","wattled eelpout","Lycodes palearis","species",254585
"505","empty gastropod shells",NA,NA,NA
"506","blackspined sea star","Lethasterias nanimensis","species",254499
"507","giant scale worm","Eunoe nodosa","species",130745
"508","Alaska skate egg case","Arctoraja parmifera egg case","species",NA
"509","purple-orange sea star","Asterias amurensis","species",254497
"510","angular whelk","Buccinum angulosum","species",138858
"511","depressed scale worm","Eunoe depressa","species",254455
"512","snow crab","Chionoecetes opilio","species",107315
"513","arrowtooth flounder","Atheresthes stomias","species",279792
"514","walleye pollock","Gadus chalcogrammus","species",300735
"515","Oregon triton","Fusitriton oregonensis","species",476496
"516",NA,"Chrysaora melanaster","species",287209
"517","snail egg","Gastropoda egg","class",NA
"518",NA,"Chrysaora melanaster","species",287209
"519","basketstar","Gorgonocephalus eucnemis","species",124969
"520","splendid hermit","Labidochirus splendescens","species",248348
"521","Oregon triton","Fusitriton oregonensis","species",476496
"522","splendid hermit","Labidochirus splendescens","species",248348
"523","spinyhead sculpin","Dasycottus setiger","species",280488
"524","Pacific capelin","Mallotus villosus","species",126735
"525","giant sea star","Evasterias echinosoma","species",254498
"526","basketstar","Gorgonocephalus eucnemis","species",124969
"527",NA,"Plicifusus kroyeri","species",491269
"528","northern rock sole","Lepidopsetta polyxystra","species",281307
"529",NA,"Chrysaora melanaster","species",287209
"530","snail egg","Gastropoda egg","class",NA
"531","Bering flounder","Hippoglossoides robustus","species",254561
"532","rusty moonsnail","Cryptonatica russa","species",580692
"533",NA,"Chrysaora melanaster","species",287209
"534","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"535","Pacific lyre crab","Hyas lyratus","species",442167
