"","CRUISE_ID","YEAR","SURVEY_NAME","REGION","VESSEL_ID","CRUISE","VESSEL_NAME","SPONSOR_ACRONYM","START_DATE","END_DATE","CRUISEJOIN","CRUISE_DATA_COLLECTED","CRUISE_DATA_IN_EDIT","CRUISE_DATA_IN_RACEBASE","CRUISE_DATA_IN_FINAL","VESSEL_COUNTRY","SURVEY_DEFINITION_ID","SURVEY_ID"
"15",485,1994,"Shelikof pollock acoustic-trawl survey","GOA",21,199403,"MILLER FREEMAN","MACE",1994-03-12,1994-04-08,280,"Y","N","Y","N","UNITED STATES OF AMERICA",62,415
"16",486,1994,"Tag Release/Recovery Survey","TAG",518,199401,"ANYO MARU NO. 22","RACE",1994-05-07,1994-09-06,771362,"Y","N","Y","N","JAPAN",95,418
"17",487,1994,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",88,199401,"ARCTURUS","RACE",1994-06-03,1994-07-24,771363,"Y","N","Y","N","UNITED STATES OF AMERICA",98,419
"18",488,1994,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",89,199401,"ALDEBARAN","RACE",1994-06-03,1994-08-01,771364,"Y","N","Y","N","UNITED STATES OF AMERICA",98,419
"19",489,1994,"Aleutian Islands Bottom Trawl Survey","AI",95,199401,"PACIFIC KNIGHT","RACE",1994-06-03,1994-08-07,827462,"Y","N","Y","N","UNITED STATES OF AMERICA",52,413
"20",490,1994,"Aleutian Islands Bottom Trawl Survey","AI",94,199401,"VESTERAALEN","RACE",1994-06-03,1994-08-05,827461,"Y","N","Y","N","UNITED STATES OF AMERICA",52,413
"21",491,1994,"Bering Sea shelf pollock acoustic-trawl survey","BS",21,199407,"MILLER FREEMAN","MACE",1994-07-09,1994-09-12,134,"Y","N","Y","N","UNITED STATES OF AMERICA",83,417
"22",495,1995,"Shelikof pollock acoustic-trawl survey","GOA",21,199504,"MILLER FREEMAN","MACE",1995-03-18,1995-04-01,857783,"Y","N","Y","N","UNITED STATES OF AMERICA",62,424
"23",497,1995,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",88,199501,"ARCTURUS","RACE",1995-06-04,1995-08-02,837799,"Y","N","Y","N","UNITED STATES OF AMERICA",98,429
"24",498,1995,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",89,199501,"ALDEBARAN","RACE",1995-06-04,1995-08-02,837800,"Y","N","Y","N","UNITED STATES OF AMERICA",98,429
"25",499,1995,"Eastern Bering Sea Crab Adaptive Sampling Study","BS",97,199501,"COLUMBIA","RACE",1995-06-07,1995-06-24,1116015,"Y","N","Y","N","UNITED STATES OF AMERICA",90,427
"26",500,1995,"West Coast Triennial Shelf Bottom Trawl Survey","WC",94,199501,"VESTERAALEN","RACE",1995-06-08,1995-07-31,852418,"Y","N","Y","N","UNITED STATES OF AMERICA",85,426
"27",501,1995,"West Coast Triennial Shelf Bottom Trawl Survey","WC",37,199501,"ALASKA","RACE",1995-06-25,1995-09-06,852417,"Y","N","Y","N","UNITED STATES OF AMERICA",85,426
"28",502,1995,"West Coast hake acoustic-trawl survey","WC",21,199510,"MILLER FREEMAN","MACE",1995-07-04,1995-09-01,852435,"Y","N","Y","N","UNITED STATES OF AMERICA",58,422
"29",503,1995,"Gear Catchability Research","WC",37,199502,"ALASKA","RACE",1995-09-13,1995-09-23,839032,"Y","N","Y","N","UNITED STATES OF AMERICA",20,420
"30",504,1995,"West Coast Slope Bottom Trawl Survey","WC",21,199512,"MILLER FREEMAN","RACE",1995-10-28,1995-11-20,852455,"Y","N","Y","N","UNITED STATES OF AMERICA",55,421
"31",507,1996,"Shelikof pollock acoustic-trawl survey","GOA",21,199605,"MILLER FREEMAN","MACE",1996-03-17,1996-03-26,857992,"Y","N","Y","N","UNITED STATES OF AMERICA",62,434
"32",508,1996,"Gulf of Alaska Bottom Trawl Survey","GOA",23,199601,"DOMINATOR","RACE",1996-05-22,1996-07-30,881074,"Y","N","Y","N","UNITED STATES OF AMERICA",47,431
"33",509,1996,"Gulf of Alaska Bottom Trawl Survey","GOA",100,199601,"GOLDEN DAWN","RACE",1996-05-22,1996-07-30,881076,"Y","N","Y","N","UNITED STATES OF AMERICA",47,431
"34",510,1996,"Gulf of Alaska Bottom Trawl Survey","GOA",94,199601,"VESTERAALEN","RACE",1996-05-22,1996-07-30,881075,"Y","N","Y","N","UNITED STATES OF AMERICA",47,431
"35",511,1996,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",88,199601,"ARCTURUS","RACE",1996-06-08,1996-07-28,858565,"Y","N","Y","N","UNITED STATES OF AMERICA",98,437
"36",512,1996,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",89,199601,"ALDEBARAN","RACE",1996-06-08,1996-07-28,858566,"Y","N","Y","N","UNITED STATES OF AMERICA",98,437
"37",514,1996,"Bering Sea shelf pollock acoustic-trawl survey","BS",21,199612,"MILLER FREEMAN","MACE",1996-07-21,1996-08-30,858263,"Y","N","Y","N","UNITED STATES OF AMERICA",83,436
"38",515,1996,"West Coast Slope Bottom Trawl Survey","WC",21,199615,"MILLER FREEMAN","RACE",1996-10-16,1996-11-25,869365,"Y","N","Y","N","UNITED STATES OF AMERICA",55,432
"39",516,1997,"Bogoslof pollock acoustic-trawl survey","BS",21,199702,"MILLER FREEMAN","MACE",1997-03-01,1997-03-11,880948,"Y","N","Y","N","UNITED STATES OF AMERICA",59,442
"40",517,1997,"Shelikof pollock acoustic-trawl survey","GOA",21,199703,"MILLER FREEMAN","MACE",1997-03-15,1997-03-25,911401,"Y","N","Y","N","UNITED STATES OF AMERICA",62,443
"41",518,1997,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",89,199701,"ALDEBARAN","RACE",1997-06-07,1997-07-26,899352,"Y","N","Y","N","UNITED STATES OF AMERICA",98,445
"42",519,1997,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",88,199701,"ARCTURUS","RACE",1997-06-07,1997-07-26,899351,"Y","N","Y","N","UNITED STATES OF AMERICA",98,445
"43",520,1997,"Aleutian Islands Bottom Trawl Survey","AI",94,199701,"VESTERAALEN","RACE",1997-06-10,1997-08-13,958199,"Y","N","Y","N","UNITED STATES OF AMERICA",52,440
"44",521,1997,"Aleutian Islands Bottom Trawl Survey","AI",23,199701,"DOMINATOR","RACE",1997-06-11,1997-08-11,952492,"Y","N","Y","N","UNITED STATES OF AMERICA",52,440
"45",522,1997,"Bering Sea shelf pollock acoustic-trawl survey","BS",21,199708,"MILLER FREEMAN","MACE",1997-07-18,1997-09-04,910761,"Y","N","Y","N","UNITED STATES OF AMERICA",83,444
"46",524,1997,"NMFS-ADFG Trawl Comparison Study","GOA",132,199701,"PEGGY JO","RACE",1997-10-20,1997-10-27,1151598,"Y","N","Y","N","UNITED STATES OF AMERICA",40,439
"47",525,1997,"NMFS-ADFG Trawl Comparison Study","GOA",41,199701,"RESOLUTION","RACE",1997-10-20,1997-10-27,1150975,"Y","N","Y","N","UNITED STATES OF AMERICA",40,439
"48",526,1997,"NMFS-ADFG Trawl Comparison Study","GOA",123,199701,"PANDALUS","RACE",1997-10-21,1997-10-23,1152415,"Y","N","Y","N","UNITED STATES OF AMERICA",40,439
"49",527,1997,"West Coast Slope Bottom Trawl Survey","WC",21,199711,"MILLER FREEMAN","RACE",1997-10-24,1997-11-24,912730,"Y","N","Y","N","UNITED STATES OF AMERICA",55,441
"50",529,1998,"Shelikof pollock acoustic-trawl survey","GOA",21,199803,"MILLER FREEMAN","MACE",1998-03-14,1998-03-24,921046,"Y","N","Y","N","UNITED STATES OF AMERICA",62,449
"51",530,1998,"West Coast Triennial Shelf Bottom Trawl Survey","WC",23,199801,"DOMINATOR","RACE",1998-06-08,1998-08-07,921326,"Y","N","Y","N","UNITED STATES OF AMERICA",85,450
"52",531,1998,"West Coast Triennial Shelf Bottom Trawl Survey","WC",94,199802,"VESTERAALEN","RACE",1998-06-08,1998-08-07,929471,"Y","N","Y","N","UNITED STATES OF AMERICA",85,450
"53",534,1998,"West Coast hake acoustic-trawl survey","WC",21,199810,"MILLER FREEMAN","MACE",1998-07-10,1998-08-27,936326,"Y","N","Y","N","UNITED STATES OF AMERICA",58,447
"54",535,1998,"Rockfish Adaptive Sampling","GOA",93,199801,"UNIMAK ENTERPRISE","RACE",1998-08-07,1998-08-19,949793,"Y","N","Y","N","UNITED STATES OF AMERICA",24,446
"55",536,1999,"Gulf of Alaska Bottom Trawl Survey","GOA",23,199901,"DOMINATOR","RACE",1999-05-16,1999-07-22,978772,"Y","N","Y","N","UNITED STATES OF AMERICA",47,453
"56",537,1999,"Gulf of Alaska Bottom Trawl Survey","GOA",94,199901,"VESTERAALEN","RACE",1999-05-16,1999-07-27,978774,"Y","N","Y","N","UNITED STATES OF AMERICA",47,453
"57",538,1999,"Gulf of Alaska Bottom Trawl Survey","GOA",57,199901,"MORNING STAR","RACE",1999-05-16,1999-07-22,978773,"Y","N","Y","N","UNITED STATES OF AMERICA",47,453
"58",539,1999,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",89,199901,"ALDEBARAN","RACE",1999-05-23,1999-07-20,965532,"Y","N","Y","N","UNITED STATES OF AMERICA",98,456
"59",540,1999,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",88,199901,"ARCTURUS","RACE",1999-05-23,1999-07-15,965533,"Y","N","Y","N","UNITED STATES OF AMERICA",98,456
"60",541,1999,"Bering Sea shelf pollock acoustic-trawl survey","BS",21,199909,"MILLER FREEMAN","MACE",1999-06-12,1999-08-13,964672,"Y","N","Y","N","UNITED STATES OF AMERICA",83,455
"61",542,1999,"Rockfish Adaptive Sampling","GOA",93,199901,"UNIMAK ENTERPRISE","RACE",1999-06-14,1999-06-29,1008015,"Y","N","Y","N","UNITED STATES OF AMERICA",24,452
"62",543,1999,"West Coast Slope Bottom Trawl Survey","WC",21,199913,"MILLER FREEMAN","RACE",1999-10-18,1999-11-18,998132,"Y","N","Y","N","UNITED STATES OF AMERICA",55,454
"63",544,2000,"Bogoslof pollock acoustic-trawl survey","BS",21,200003,"MILLER FREEMAN","MACE",2000-02-29,2000-03-13,1007812,"Y","N","Y","N","UNITED STATES OF AMERICA",59,460
"64",545,2000,"Shelikof pollock acoustic-trawl survey","GOA",21,200004,"MILLER FREEMAN","MACE",2000-03-17,2000-03-25,1027695,"Y","N","Y","N","UNITED STATES OF AMERICA",62,461
"65",546,2000,"Aleutian Islands Bottom Trawl Survey","AI",23,200001,"DOMINATOR","RACE",2000-05-20,2000-07-22,1039635,"Y","N","Y","N","UNITED STATES OF AMERICA",52,458
"66",547,2000,"Aleutian Islands Bottom Trawl Survey","AI",94,200001,"VESTERAALEN","RACE",2000-05-20,2000-07-20,1039636,"Y","N","Y","N","UNITED STATES OF AMERICA",52,458
"67",548,2000,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",89,200001,"ALDEBARAN","RACE",2000-05-23,2000-07-20,1010675,"Y","N","Y","N","UNITED STATES OF AMERICA",98,465
"68",549,2000,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",88,200001,"ARCTURUS","RACE",2000-05-23,2000-07-13,1010676,"Y","N","Y","N","UNITED STATES OF AMERICA",98,465
"69",550,2000,"Bering Sea shelf pollock acoustic-trawl survey","BS",21,200009,"MILLER FREEMAN","MACE",2000-06-13,2000-07-31,1027909,"Y","N","Y","N","UNITED STATES OF AMERICA",83,464
"70",551,2000,"Eastern Bering Sea Slope Bottom Trawl Survey","BS",57,200001,"MORNING STAR","RACE",2000-06-20,2000-07-19,1023495,"Y","N","Y","N","UNITED STATES OF AMERICA",78,463
"71",552,2000,"Gear Catchability Research","BS",88,200002,"ARCTURUS","RACE",2000-07-25,2000-07-28,1061275,"Y","N","Y","N","UNITED STATES OF AMERICA",19,457
"72",553,2000,"East Kodiak pollock acoustic-trawl survey","GOA",21,200010,"MILLER FREEMAN","MACE",2000-08-09,2000-08-19,1061775,"Y","N","Y","N","UNITED STATES OF AMERICA",70,462
"73",554,2000,"West Coast Slope Bottom Trawl Survey","WC",21,200012,"MILLER FREEMAN","RACE",2000-10-11,2000-11-09,1028815,"Y","N","Y","N","UNITED STATES OF AMERICA",55,459
"74",555,2001,"Winter Groundfish Survey","GOA",143,200101,"SEA STORM","RACE",2001-02-10,2001-03-06,1060120,"Y","N","Y","N","UNITED STATES OF AMERICA",13,467
"75",556,2001,"Shumagin pollock acoustic-trawl survey","GOA",21,200102,"MILLER FREEMAN","MACE",2001-02-14,2001-02-18,1039235,"Y","N","Y","N","UNITED STATES OF AMERICA",63,472
"76",557,2001,"Winter Groundfish Trawl Survey","BS",134,200101,"NORTHWEST EXPLORER","RACE",2001-02-18,2001-02-28,1058875,"Y","N","Y","N","UNITED STATES OF AMERICA",12,466
"77",558,2001,"Winter Groundfish Trawl Survey","BS",31,200101,"OCEAN HARVESTER","RACE",2001-02-18,2001-02-28,1059320,"Y","N","Y","N","UNITED STATES OF AMERICA",12,466
"78",559,2001,"Bogoslof / SE Bering Sea shelf pollock acoustic-trawl survey","BS",21,200103,"MILLER FREEMAN","MACE",2001-02-20,2001-03-10,1039395,"Y","N","Y","N","UNITED STATES OF AMERICA",105,476
"79",560,2001,"Winter Groundfish Survey","GOA",31,200102,"OCEAN HARVESTER","RACE",2001-03-05,2001-03-13,1059814,"Y","N","Y","N","UNITED STATES OF AMERICA",13,467
"80",561,2001,"Shelikof pollock acoustic-trawl survey","GOA",21,200104,"MILLER FREEMAN","MACE",2001-03-13,2001-03-26,1058532,"Y","N","Y","N","UNITED STATES OF AMERICA",62,471
"81",562,2001,"Gulf of Alaska Bottom Trawl Survey","GOA",57,200101,"MORNING STAR","RACE",2001-05-20,2001-07-23,1077655,"Y","N","Y","N","UNITED STATES OF AMERICA",47,468
"82",563,2001,"Gulf of Alaska Bottom Trawl Survey","GOA",94,200101,"VESTERAALEN","RACE",2001-05-20,2001-07-21,1077656,"Y","N","Y","N","UNITED STATES OF AMERICA",47,468
"83",564,2001,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",89,200101,"ALDEBARAN","RACE",2001-05-29,2001-07-19,1063016,"Y","N","Y","N","UNITED STATES OF AMERICA",98,475
"84",565,2001,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",88,200101,"ARCTURUS","RACE",2001-05-31,2001-07-19,1063015,"Y","N","Y","N","UNITED STATES OF AMERICA",98,475
"85",566,2001,"West Coast Triennial Shelf Bottom Trawl Survey","WC",149,200101,"FROSTI","RACE",2001-06-08,2001-08-25,1090095,"Y","N","Y","N","CANADA",85,474
"86",567,2001,"West Coast Triennial Shelf Bottom Trawl Survey","WC",143,200102,"SEA STORM","RACE",2001-06-08,2001-08-03,1090096,"Y","N","Y","N","UNITED STATES OF AMERICA",85,474
"87",568,2001,"West Coast hake acoustic-trawl survey","WC",21,200108,"MILLER FREEMAN","MACE",2001-06-19,2001-07-27,1062115,"Y","N","Y","N","UNITED STATES OF AMERICA",58,470
"88",569,2001,"East Kodiak pollock acoustic-trawl survey","GOA",21,200109,"MILLER FREEMAN","MACE",2001-08-09,2001-08-31,1077055,"Y","N","Y","N","UNITED STATES OF AMERICA",70,473
"89",570,2001,"West Coast Slope Bottom Trawl Survey","WC",21,200112,"MILLER FREEMAN","RACE",2001-10-12,2001-11-08,1105595,"Y","N","Y","N","UNITED STATES OF AMERICA",55,469
"90",571,2002,"Shumagin pollock acoustic-trawl survey","GOA",21,200202,"MILLER FREEMAN","MACE",2002-02-11,2002-02-13,1105295,"Y","N","Y","N","UNITED STATES OF AMERICA",63,479
"91",572,2002,"Bogoslof / SE Bering Sea shelf pollock acoustic-trawl survey","BS",21,200203,"MILLER FREEMAN","MACE",2002-02-22,2002-03-10,1105335,"Y","N","Y","N","UNITED STATES OF AMERICA",105,484
"92",573,2002,"Shelikof pollock acoustic-trawl survey","GOA",21,200204,"MILLER FREEMAN","MACE",2002-03-14,2002-03-25,1115755,"Y","N","Y","N","UNITED STATES OF AMERICA",62,478
"93",574,2002,"Aleutian Islands Bottom Trawl Survey","AI",94,200201,"VESTERAALEN","RACE",2002-05-17,2002-07-19,1145916,"Y","N","Y","N","UNITED STATES OF AMERICA",52,477
"94",575,2002,"Aleutian Islands Bottom Trawl Survey","AI",57,200201,"MORNING STAR","RACE",2002-05-26,2002-06-04,1137515,"Y","N","Y","N","UNITED STATES OF AMERICA",52,477
"95",576,2002,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",89,200201,"ALDEBARAN","RACE",2002-06-02,2002-07-24,1117115,"Y","N","Y","N","UNITED STATES OF AMERICA",98,483
"96",577,2002,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",88,200201,"ARCTURUS","RACE",2002-06-02,2002-07-18,1117116,"Y","N","Y","N","UNITED STATES OF AMERICA",98,483
"97",578,2002,"Eastern Bering Sea Slope Bottom Trawl Survey","BS",57,200202,"MORNING STAR","RACE",2002-06-05,2002-07-29,1129895,"Y","N","Y","N","UNITED STATES OF AMERICA",78,481
"98",579,2002,"Bering Sea shelf pollock acoustic-trawl survey","BS",21,200208,"MILLER FREEMAN","MACE",2002-06-10,2002-07-28,1116355,"Y","N","Y","N","UNITED STATES OF AMERICA",83,482
"99",580,2002,"Aleutian Islands Bottom Trawl Survey","AI",143,200201,"SEA STORM","RACE",2002-06-12,2002-08-13,1138955,"Y","N","Y","N","UNITED STATES OF AMERICA",52,477
"100",581,2002,"East Kodiak pollock acoustic-trawl survey","GOA",21,200209,"MILLER FREEMAN","MACE",2002-08-15,2002-09-04,1136795,"Y","N","Y","N","UNITED STATES OF AMERICA",70,480
"101",582,2003,"Shumagin pollock acoustic-trawl survey","GOA",21,200301,"MILLER FREEMAN","MACE",2003-02-07,2003-02-10,1193695,"Y","N","Y","N","UNITED STATES OF AMERICA",63,490
"102",583,2003,"Bogoslof pollock acoustic-trawl survey","BS",21,200304,"MILLER FREEMAN","MACE",2003-03-09,2003-03-13,1193795,"Y","N","Y","N","UNITED STATES OF AMERICA",59,488
"103",584,2003,"Shelikof pollock acoustic-trawl survey","GOA",21,200305,"MILLER FREEMAN","MACE",2003-03-17,2003-03-31,1193835,"Y","N","Y","N","UNITED STATES OF AMERICA",62,489
"104",585,2003,"Gulf of Alaska Bottom Trawl Survey","GOA",134,200301,"NORTHWEST EXPLORER","RACE",2003-05-20,2003-08-02,1173315,"Y","N","Y","N","UNITED STATES OF AMERICA",47,487
"105",586,2003,"Gulf of Alaska Bottom Trawl Survey","GOA",147,200301,"GLADIATOR","RACE",2003-05-20,2003-08-02,1166835,"Y","N","Y","N","UNITED STATES OF AMERICA",47,487
"106",587,2003,"Gulf of Alaska Bottom Trawl Survey","GOA",143,200301,"SEA STORM","RACE",2003-05-27,2003-08-09,1180649,"Y","N","Y","N","UNITED STATES OF AMERICA",47,487
"107",588,2003,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",89,200301,"ALDEBARAN","RACE",2003-06-02,2003-07-22,1152635,"Y","N","Y","N","UNITED STATES OF AMERICA",98,492
"108",589,2003,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",88,200301,"ARCTURUS","RACE",2003-06-02,2003-07-22,1159454,"Y","N","Y","N","UNITED STATES OF AMERICA",98,492
"109",590,2003,"Gulf of Alaska pollock acoutic-trawl survey","GOA",21,200309,"MILLER FREEMAN","MACE",2003-06-07,2003-07-14,1194115,"Y","N","Y","N","UNITED STATES OF AMERICA",74,491
"110",591,2003,"Bering Sea Rockfish Exploration","BS",89,200302,"ALDEBARAN","RACE",2003-07-24,2003-07-28,1166435,"Y","N","Y","N","UNITED STATES OF AMERICA",34,486
"111",592,2003,"Gear Catchability Research","BS",88,200302,"ARCTURUS","RACE",2003-07-24,2003-07-31,1209735,"Y","N","Y","N","UNITED STATES OF AMERICA",19,485
"112",593,2004,"Shelikof pollock acoustic-trawl survey","GOA",21,200403,"MILLER FREEMAN","MACE",2004-03-26,2004-04-01,1236515,"Y","N","Y","N","UNITED STATES OF AMERICA",62,494
"113",594,2004,"West Coast Triennial Shelf Bottom Trawl Survey","WC",94,200401,"VESTERAALEN","RACE",2004-05-26,2004-07-12,1236676,"Y","N","Y","N","UNITED STATES OF AMERICA",85,7
"114",617,2006,"Aleutian Islands Bottom Trawl Survey","AI",147,200601,"GLADIATOR","RACE",2006-06-01,2006-07-20,-617,"Y","N","N","Y","UNITED STATES OF AMERICA",52,8
"115",472,1992,"West Coast Slope Bottom Trawl Survey","WC",21,199210,"MILLER FREEMAN","RACE",1992-10-17,1992-11-12,418,"Y","N","Y","N","UNITED STATES OF AMERICA",55,399
"116",138,1976,"West Coast Triennial Shelf Bottom Trawl Survey (Pilot)","WC",22,197602,"PACIFIC RAIDER","RACE",1976-08-07,1976-09-28,420,"Y","N","Y","N","UNITED STATES OF AMERICA",100,130
"117",152,1977,"West Coast Triennial Shelf Bottom Trawl Survey","WC",22,197701,"PACIFIC RAIDER","RACE",1977-07-13,1977-09-26,421,"Y","N","Y","N","UNITED STATES OF AMERICA",85,140
"118",351,1984,"Sablefish Pot Index Survey","WC",23,198401,"DOMINATOR","RACE",1984-09-24,1984-10-28,422,"Y","N","Y","N","UNITED STATES OF AMERICA",25,284
"119",405,1988,"West Coast Slope Bottom Trawl Survey","WC",25,198803,"DAVID STARR JORDAN","RACE",1988-02-23,1988-04-09,425,"Y","N","Y","N","UNITED STATES OF AMERICA",55,349
"120",237,1980,"West Coast Commercial Ride-Along Study","WC",36,198001,"QUEEN VICTORIA","RACE",1980-08-13,1980-08-21,428,"Y","N","Y","N","UNITED STATES OF AMERICA",65,194
"121",383,1986,"West Coast Triennial Shelf Bottom Trawl Survey","WC",37,198602,"ALASKA","RACE",1986-08-02,1986-09-28,429,"Y","N","Y","N","UNITED STATES OF AMERICA",85,330
"122",318,1983,"West Coast Triennial Shelf Bottom Trawl Survey","WC",39,198301,"WARRIOR II","RACE",1983-07-13,1983-09-29,433,"Y","N","Y","N","UNITED STATES OF AMERICA",85,273
"123",319,1983,"West Coast Triennial Shelf Bottom Trawl Survey","WC",40,198301,"NORDFJORD","RACE",1983-07-14,1983-09-29,434,"Y","N","Y","N","UNITED STATES OF AMERICA",85,273
"124",350,1984,"West Coast Slope Bottom Trawl Survey","WC",44,198401,"HALF MOON BAY","RACE",1984-09-08,1984-10-11,435,"Y","N","Y","N","UNITED STATES OF AMERICA",55,293
"125",261,1981,"Tag Release/Recovery Survey","TAG",46,198101,"STELLER","RACE",1981-05-25,1981-05-25,436,"Y","N","Y","N","UNITED STATES OF AMERICA",95,234
"126",81,1972,"Tag Release/Recovery Survey","TAG",50,197201,"QUEST","RACE",1972-09-29,1972-11-14,439,"Y","N","Y","N","UNITED STATES OF AMERICA",95,83
"127",62,1971,"Tag Release/Recovery Survey","TAG",51,197103,"N. B. SCHOFIELD","RACE",1971-05-19,1971-06-08,440,"Y","N","Y","N","UNITED STATES OF AMERICA",95,69
"128",72,1972,"Tag Release/Recovery Survey","TAG",51,197203,"N. B. SCHOFIELD","RACE",1972-05-06,1972-05-16,442,"Y","N","Y","N","UNITED STATES OF AMERICA",95,80
"129",93,1973,"Tag Release/Recovery Survey","TAG",51,197304,"N. B. SCHOFIELD","RACE",1973-07-18,1973-07-19,443,"Y","N","Y","N","UNITED STATES OF AMERICA",95,95
"130",118,1975,"Tag Release/Recovery Survey","TAG",52,197501,"MISCELLANEOUS CALIFORNIA SPORT BOATS","RACE",1975-06-18,1975-12-30,444,"Y","N","Y","N","UNITED STATES OF AMERICA",95,117
"131",249,1981,"Tag Release/Recovery Survey","TAG",53,198101,"COLLIER BROTHERS","RACE",1981-03-05,1981-03-06,446,"Y","N","Y","N","UNITED STATES OF AMERICA",95,232
"132",143,1976,"Tag Release/Recovery Survey","TAG",54,197601,"PACIFIC QUEEN","RACE",1976-09-25,1976-09-25,447,"Y","N","Y","N","UNITED STATES OF AMERICA",95,128
"133",193,1979,"Tag Release/Recovery Survey","TAG",55,197901,"FORENE","RACE",1979-06-10,1979-08-21,448,"Y","N","Y","N","UNITED STATES OF AMERICA",95,174
"134",207,1979,"Tag Release/Recovery Survey","TAG",55,197902,"FORENE","RACE",1979-11-27,1979-12-10,449,"Y","N","Y","N","UNITED STATES OF AMERICA",95,508
"135",219,1980,"Tag Release/Recovery Survey","TAG",55,198001,"FORENE","RACE",1980-05-29,1980-06-04,450,"Y","N","Y","N","UNITED STATES OF AMERICA",95,206
